Case #001: AC | Time: 0.896s
Case #002: AC | Time: 0.413s
Case #003: AC | Time: 0.482s
Case #004: AC | Time: 1.226s
Case #005: AC | Time: 0.646s
Case #006: AC | Time: 0.305s
Case #007: AC | Time: 0.412s
Case #008: AC | Time: 0.408s
Case #009: AC | Time: 0.407s
Case #010: AC | Time: 0.276s
Case #011: AC | Time: 1.261s
Case #012: AC | Time: 0.814s
Case #013: AC | Time: 0.414s
Case #014: AC | Time: 0.307s
Case #015: AC | Time: 0.258s
Case #016: AC | Time: 0.355s
Case #017: AC | Time: 0.513s
Case #018: AC | Time: 0.585s
Case #019: AC | Time: 1.509s
Case #020: AC | Time: 0.465s
Case #021: AC | Time: 0.549s
Case #022: AC | Time: 0.351s
Case #023: AC | Time: 0.433s
Case #024: AC | Time: 0.409s
Case #025: AC | Time: 0.614s
Case #026: AC | Time: 0.350s
Case #027: AC | Time: 0.322s
Case #028: AC | Time: 0.284s
Case #029: AC | Time: 0.350s
Case #030: AC | Time: 0.299s
Case #031: AC | Time: 0.294s
Case #032: AC | Time: 0.295s
Case #033: AC | Time: 0.297s
Case #034: AC | Time: 0.295s
Case #035: AC | Time: 0.344s
Case #036: AC | Time: 0.959s
Case #037: AC | Time: 0.598s
Case #038: AC | Time: 0.885s
Case #039: AC | Time: 0.674s
Case #040: AC | Time: 0.543s
Case #041: AC | Time: 0.765s
Case #042: AC | Time: 1.531s
Case #043: AC | Time: 0.696s
Case #044: AC | Time: 0.660s
Case #045: AC | Time: 0.367s
Case #046: AC | Time: 0.341s
Case #047: AC | Time: 0.339s
Case #048: AC | Time: 0.341s
Case #049: AC | Time: 0.343s
Case #050: AC | Time: 0.344s
Case #051: AC | Time: 0.485s
Case #052: AC | Time: 0.639s
Case #053: AC | Time: 0.386s
Case #054: AC | Time: 0.469s
Case #055: AC | Time: 0.392s
Case #056: AC | Time: 0.470s
Case #057: AC | Time: 0.386s
Case #058: AC | Time: 0.438s
Case #059: AC | Time: 0.432s
Case #060: AC | Time: 0.469s
Case #061: AC | Time: 1.534s
Case #062: AC | Time: 1.468s
Case #063: AC | Time: 1.426s
Case #064: AC | Time: 1.379s
Case #065: AC | Time: 1.492s
Case #066: AC | Time: 1.390s
Case #067: AC | Time: 1.416s
Case #068: AC | Time: 1.514s
Case #069: AC | Time: 1.420s
Case #070: AC | Time: 1.379s
Case #071: AC | Time: 1.449s
Case #072: AC | Time: 1.462s
Case #073: AC | Time: 1.458s
Case #074: AC | Time: 1.415s
Case #075: AC | Time: 1.503s
Case #076: AC | Time: 1.455s
Case #077: AC | Time: 1.443s
Case #078: AC | Time: 1.444s
Case #079: AC | Time: 1.532s
Case #080: AC | Time: 2.458s
Case #081: AC | Time: 2.438s
Case #082: AC | Time: 1.622s
Case #083: AC | Time: 2.223s
Case #084: AC | Time: 2.110s

Score: 84/84
